Drug Name,Condition,Rating,Content
Gabapentin,AnxietyOff-label,10,"""I've had anxiety for a years, and panic a lot. I lost my job and partner in the same week (2 weeks before Xmas). Took my first tablet 4 hours ago and already I can think straight, concentrate, and I'm not up tight! Clearheaded."""
Venlafaxine,Depression,7,"""I just started taking it within the last few days, and I have been so nauseated since then. My head feels a little cloudy, too. I'm really hoping those side effects go away soon."""
Sertraline,Depression,1,"Zoloft (sertraline)""I know everyone is different and medication affects everyone differently but here goes. I started off on this for insomnia and anxiety and mild depression. Took 25mg for 1st week then up to 50mg for the next 10 days. The side affects got to much for me insomnia worse and the night sweats where horrendous not to mention the very low libido. I'm back on mirtazapine now and sleeping loads better and back to work. I wanted to stick it out but the side effects was way to much for me!!"""
Clonidine,ADHD,9,"""I (age 28) take clonidine for a few things— I have ADHD (combined type but more affected by my inattentive symptoms), bipolar disorder, generalized anxiety, OCD, complex PTSD, Autism, tics
It works for me quite well, especially in terms of generalized anxiety (the very physical symptoms) and ADHD. It’s even helped me take the edge off of hypomania (bipolar). My only complaint is that I take it morning and night and I’ve noticed my blood pressure spiking midday, and wondering if my new blood pressure issue is related to the drug withdrawing or a separate issue altogether (I am overweight). Will be checking into that. Either way, clonidine .1 twice a day works for me alongside several other drugs— Effexor Xr, Rexulti, Depakote ER, Concerta, and Vistaril, as needed."""
Gabapentin,Reflex Sympathetic Dystrophy SyndromeOff-label,1,"""I've had Complex regional pain syndrome (CRPS) in my ankle/foot for about 9 yrs now work injury. 1st thing tried was cortizone shots directly in my ankle then after diagnosis I was given ext release morphine an vicodin for break through pain. Due to one of my more unpleasant an turned out dangerous side effects I have which is the random feeling of lots of ants or spiders running all over my Foot & Leg biting me It feels so real that twice I ignored the feeling an found I was really being attacked by dozens of ants Doc decided to add Gabapentin and even thou that side effect has tapered off I had no real improvement I stopped taking it after 4 months. For about 5 yrs now I've been taking exalgo, dilaudid, flexaril, & cymbalta this combo has helped the most for me so far"""
Zoloft,Depression,1,"""I have taken a few antidepressants just looking for perfect fit. DO NOT TAKE ZOLOFT my side effects were so severe I have been out of work for 2 weeks. Prozac was probably the best. My experience was so bad that I now take 0 meds because of the ill effects. I can give you pointers on natural remedies."""
Singulair,Allergic Rhinitis,10,"""Works great for my allergies - nothing else has."""
Sertraline,Depression,8,"Zoloft (sertraline)""I was placed on zoloft after being on citalopram for 3 years. I was on 25 mg Zoloft for about a week and bumped to 50mg for 21 days. Then bumped to 75 mg where I’ve been for 3 weeks. So about 7 weeks total. My anxiety is gone & I’m way more mellow. I had two job interviews and didn’t have any panic or meltdowns. So that’s great. I noticed I’m way more apathetic and that my libido is gone. I still have days where I’m empty feeling (even though I have tons of friends and family that I adore) and where I cry. I also feel very spacey at times. I function okay I think and I am able to take care of errands, the household, and my child. I may lower back down to 50mg if I continue to feel numb on 75 mg after 8 weeks. This medicine isn’t scary, don’t be afraid to try it. Please also remember that it takes months for it to start working and some people stop taking this medicine early before it could of begun to help."""
Midazolam,Light Sedation,1,"Versed (midazolam)""I had a vertebroplasty done on two back fractures.  Have had versed in past and worked fine.   Not this time. I felt every minute of dr working  on me.   Not sure it worked in past but not this time"""
NuvaRing,Birth Control,7,"""I am 22 and have been using the Nuvaring for almost 3 months.  At first I loved it.  It was so convenient.  I always forgot to take the pill so I wanted to try something that I could forget about.  I'm not experiencing anything extreme but I am not a very emotional person but sense I have started the Nuvaring I am either extremely happy or something little will make me cry or want to throw a fit.  I realize it so I can usually get myself stopped but sometimes its too late!  Also I have been very tired.  I am not completely sure this is because of the ring but I think it is.  Also I am bloated all the time and I never used to be!  I wouldn't say this product is horrible but for me it isn't worth the inconvenience either."""
Nexplanon,Birth Control,2,"""I have been on Nexplanon for 1-2 years now. When I first got it, I started bleeding extremely heavy every single day for 7 months straight, NON STOP. My periods then went up and down from super heavy to spotting every day. Ten months in, I started having extreme, horrible pains in my lower abdomen and stomach. I was getting very bloated and having pains so bad I had to curl up in a ball. I also have extreme pain with sex. I have to stop my partner in the middle of it and got to the point where I’m terrified to have sex. Though, I rarely have a sex drive anymore and was dry or bloody anyway. Mood swings have been up and down affecting my relationship. I now have depression and anxiety has become worse to the point where I am on medication and my doctor suggested a therapist. I went to obgyn for the stomach pain and she said, “it’s definitely not the birth control.” I wasn't so sure. I really do not recommend Nexplanon AT ALL. Getting removed!"""
Losartan,High Blood Pressure,4,"""Just started losartan 50mg I do know it takes time to work especially having blood pressure going as high as 158/113. The only side affect so far for me is dizziness which I had before taking this medication which doctor seems to think it is the blood pressure and vertigo making the dizziness. But do see some change in blood pressure after taking the medicine I can get my pressure down as low as 128/84 but throughout the day I get readings as high as 124/102. I hope this medicine will eventually get my pressure back down to normal range with in a couple of weeks but is being closely monitored by my doctor."""
Clobex,Dermatitis,10,"""After just 3 days of using this I'm starting to see significant clearing on the inside of my elbow where a stress rash got out of control. I might not need to even use it for the whole 2 weeks and be able to save it for next time!"""
Guanfacine,ADHD,8,"Intuniv (guanfacine)""My adopted 13 y.o. son has fetal alcohol syndrome causing severe ADHD and failure to thrive. Has been on Concerta for four years. For years his special Education teachers let him run around in the halls to tire him out and lessen the hyperactivity. Even with the Concerta at 36 mg he was extremely hyper. He started Intuniv about a year ago, takes 3 mgs per day plus a reduced Concerta dose (18 mg). No side effects of note. He seems to be doing better hyperactivity wise in school, but I have not noticed a big difference at home. I also still have big problems with him homework-wise too. At 10 y.o. he weighed 60 lbs, with reduction in Concerta dose, he's finally gaining weight (13 y.o., 91 lbs) so that's the trade off we're making."""
Bupropion,Depression,6,"Wellbutrin (bupropion)""I am on day 3 of wellbutrin. I have a special 70mg doseage as in Europe not easily available. I did day 1 and day 2 on 35mg. I just slept all the time and thankfully was the weekend so off work. I felt so great though apart from being zombie. Was hungry alot too. Day 3 - I've taken 35mg morning now my second 35mg at evening. Am wondering will the sleepiness go away? I've tried loads of SSRI'S and SRNI's and just sleep all the time on all of them. Very frustrating as I know lots of people who are on anti depressants and they don't have the zombie affect and it really improves the quality of their lives. Am probably going to have to come off anti depressants as no quality of life with the zombie affect. Any advice be appreciated. :("""
Wellbutrin XL,Depression,10,"""I never thought I would find a medication that worked for me. I was prescribed SSRI’s, hydroxizine, and adderall for ADHD, depression, and anxiety. All of these meds made everything worse, and I felt I couldn’t trust doctors, so naturally I was reluctant at first when I was prescribed Wellbutrin XR 150 mg. I was desperate though and needed help. I took it for the first time, and within days I was able to get out of bed. I went from one of the lowest points in my life to being happy and feeling like myself again after years of self medicating. This medication also helped me to get off of other substances and focus on my mental health. It works wonders for my ADHD, depression and anxiety. I feel like me again. I feel alive again. I feel emotion again. I had almost forgotten what that was like, but this medication reminded me. Truly a godsend."""
Junel,Birth Control,10,"Lo Loestrin Fe (ethinyl estradiol / norethindrone)""I absolutely loveee this birth control. My first birth control was newer and called taytulla. It was awful and made me super depressed as well as worsened my acne. After that I was so nervous to switch birth controls but this one has made my life so much better! My periods are shorter, my anxiety has lessened than before I was even on birth control, and I  don’t break out besides on my period. If it doesn’t work for others remember it could work for you! I love this so much! ( I also know a lot of people on it who loved it! )"""
Levothyroxine,Hashimoto's disease,1,"Synthroid (levothyroxine)""T4 only did not work for me, my body could not convert the T4 to the needed T3"""
Mavenclad,Multiple Sclerosis,9,"""This was my 7th therapy. I am currently on NO therapy and my scans are good, MS symptoms are minimal 36 months after. My doctor is pleased. This medication was exactly as my nurse educator explained. Slight fatigue for a few months, headache during and right after taking. My lymphocytes dropped by 50% or so but all else was fine. I actually felt good- better than I have in years- after my first year. My cog fog lifted. Year two was similar. 
I highly recommend meeting with your local nurse for education because I did not really understand how the medication worked in the body until she simplified it. This was so helpful. I don’t think most doctors take the time to explain - I was just given a broad overview brochure and then left to my own devices. I was scared at first.  Also, MS Lifelines handled out-of-pocket costs for me and my nurse made it not so scary. Note -It took a long time to get it approved, but worth it! A+"""
SoluMEDROL,Inflammatory Conditions,10,"""I was diagnosed with acute laryngopharyngitis which inflamed my throat, tonsills, and mouth. My body didn't react to amoxicillin so I went a whole weekend in severe pain. Wentt to my docs office at 10am Monday, was hospitalized by 1pm, Solu Medrol by 2pm and pain free by 7pm. Over the course of three days I was very moody, stomach and chest pain, constipation, and never slept but once discharged after 3 days of treatment I was back to my old self within 48hours. The side effects are bad but the effects are heaven sent for pain and inflammation. I have heard the same about Multiple Sclerosis and gout sufferers. God bless you all!"""
Mounjaro,Weight Loss (Obesity/Overweight),10,"""Having muscle wasting after 6 months. No other issues. Down thirty pounds in 6 months."""
Triamcinolone,Osteoarthritis,10,"Zilretta (triamcinolone)""My doctor gave me Zilretta almost 7-8 months ago. I have osteoarthritis, my left knee is almost bone-on-bone. My doctor and Zilretta saved me from hell on earth. I thought that this medication must be a quick fix, no side effects, no icing the knee every 4 hours a day. But Zilretta is a force to be reckoned with; once injected in the knee, it goes where it's supposed to be. That's the power of Zilretta. God bless the mind and hands that created this miracle drug for people like me. I just got my second injection as I told you 7 or 8 months ago, and I am feeling relief. Since 11 am, it is now 6:15 pm, and I could walk at least 3 blocks. Zilretta is fast and to the point, no fuss, no muss, and I am a great-grandma; my great-granddaughter is in her first year of high school. She called me about an hour ago, asking how does your knee and you feel? Like a champ, she stated Zilretta again."""
Tramadol,Pain,2,"""This medicine did get rid of my pain from a fall.  However, I took it as directed and only had 100mg in my system.  I was woken up approximately 2 hours after the second pill with bad stomach pains and proceeded to have adverse reactions including cold sweats, clammy skin, dizziness which went into vertigo which lasted some 18 hours and I am still not completely stable.  I expect that the fact that I have not been on any prescription pain killers for over 30 years may have something to do with my reaction.  However, the reaction was worse than the original pain."""
Dulaglutide,"Diabetes, Type 2",2,"Trulicity (dulaglutide)""After 4 weeks of using it, I haven't lost any weight.  I feel extremely tired, and I will ask to blood analysis because I have felt terrible . This is not for me."""
Cipro,Cholera,10,"""This medication really helps. """
Hydromorphone,Pain,10,"Dilaudid (hydromorphone)""This is wonderful for pain management.This is a drug thaght actually KILLS pain!

But be warned, it does have a high potential for addiction.

It truly took all my pain away."""
Qbrexza,Hyperhidrosis,4,"""Worked a little bit too well, always try before you buy! I got a sample of Qbrexza from my dermatologist. I followed the directions (washing my hands to make sure it didn’t get into my mouth or eyes), used it on my underarms and within 4 hours I had a super dry throat! Could barely talk. When I woke up the next day, it was the worst thing ever. My mouth and throat were so dry and swollen I felt like I was choking trying to breathe. I couldn’t drink anything because it hurt so badly to swallow. My tongue was bright white and my eyes bright red. Everything hurt so badly I wanted to cry (but I couldn’t)! It worked well for sweating, but I recommend you try it out to see how you react before getting a full prescription... As someone who tends to be a bit more sensitive to drugs and a teen,  I will not continue using :("""
Metronidazole,Bacterial Vaginosis,10,"""Ladies!!
I have reoccurring BV and this is a lifesaver! The only downside is the nasty, metallic bitter taste ((drink with super cold milk or a milkshake!) and sometimes it’ll trigger a yeast infection :( other than that, my vagina is ODOR FREE and I feel so confident!!! BV makes me self conscious but this is amazing! I wish it wasn’t an “antibiotic” but a daily pill"""
Tirzepatide,"Diabetes, Type 2",10,"Mounjaro (tirzepatide)""It is easy to use and I have great hope it will help me with my Type 2 diabetes. And obesity."""
Slynd,Birth Control,5,"""I went on this pill to help regulate my periods as they were all over the place with PoPs. Slynd did make them more regular but I had really bad anxiety and even suicidal thoughts (which I've never had before) while taking this. I've since switched back to PoPs and my anxiety and mood have significantly improved."""
Tranexamic acid,Menstrual Disorders,8,"""Very heavy period after the birth of my 4th child. Was prescribed this for the heavy bleeding two tablets  3x per day.  I don't even have to take as prescribed. Two  tablets once per day is all I needed, the bad thing is my insurance don't cover this and my doctor suggested a surgery to thin out the lining of my cervix which I am terrified to do. Once I can pay for it out of pocket I will be fine with less bleeding days and light to normal flow with no anemia."""
Levonorgestrel,Birth Control,1,"Skyla (levonorgestrel)""So I got my skyla inserted and it was honestly the worst pain of my entire life. My doctor had told me that I would feel some cramping but during and especially after I could not even breathe. I sat up after it was over and started sweating, my ears started to ring and I then passed out! When I woke up I was in the worst pain I have ever felt. I drove myself to the doctor but I had to have someone come get me because I couldn't even stand up. The rest of the day I had extreme cramping. Still debating on whether to take it out or not because it doesn't feel comfortable."""
Naltrexone,Alcohol Use Disorder,10,"Vivitrol (naltrexone)""2 years sober from deadly chronic alcohol dependence.  I owe it all to Vivitrol. Buys me 30 days at a time, and I just celebrated 2 years FREE."""
Jolessa,Birth Control,3,"""The first month went smoothly. The second month is when the side effects started. I had a DARK brown (not the usually dark post period blood) but brown brown discharge and terrible headaches. After two weeks of this madness, I stopped taking them! I read on other sites that this has happen to numerous other females. It was gross— I’m never taking this again! I still have the headaches two days off the pill."""
Rosuvastatin,High Cholesterol,3,"""I'm vegetarian overall good diet, but not perfect. I am thin,66 years old and a non smoker, non drinker. 
But I am on other meds for asthma and stomach problems.I started this statin and from two hours after first dose (5).I got very bad stomach acid. It went of in day time but came back two hours after tablet every night, all night. Then after day three stiffness and pain in knees also.  Is it worth it? I feel desperate."""
Insulin Detemir,"Diabetes, Type 2",10,"""I've been using Levemir for several years now to control my Type II Diabetes.  It has been doing a fantastic job.  It keeps my A1C levels below 7 and my morning sugar levels are usually below 100.  When I first started using Levemir I was at 24 units but as the years went by I've had to increase the doasge up to where I am at now to 38 units.  But it is working!  Every once in a while I may get a little itching at an injection site but no other side effects! I had been on all the oral glycemics and other injectable insulins before, but nothing had controlled my diabetes like this."""
Colazal,Ulcerative Colitis,1,"""I took this for about 6-8 month and had the worst flare of my life. Spent 7 days in the hospital."""
Linzess,Irritable Bowel Syndrome with Constipation,9,"""Linzess had huge impact on my quality of life. You have to be careful to follow the dosing restrictions. Food within a certain period of dosing especially fatty food will elicit an expedited response from the medicine. This means that the symptoms you may feel which normally might be strung out over a period come fast and hard. I began eating oatmeal for breakfast every day. One high fiber package and one normal. I also keep miralax on hand to fine tune my GI system. Altogether, this medicine used correctly can make a vast difference. I sometimes worry that I have to use this medicine to feel normal but until they come up with something better for IBS-C it's about as good as it gets."""
Losartan,High Blood Pressure,1,"""Pain in my neck and head. Also have a lot of mucus and my muscles are very stiff."""
Alprazolam,Panic Disorder,1,"Xanax XR (alprazolam)""Xanax regular kind worded so well for me and my panic disorder. Now my dr put me on the Xanax ER and it does not work at all. I don't know why the dr changed me from regular Xanax when it was working so well."""
Tirzepatide,Weight Loss (Obesity/Overweight),8,"Mounjaro (tirzepatide)""I can really tell that this medication really works based on my eating habits. I get full faster when I eat, and my clothes are beginning to sag on me."""
Lamotrigine,Bipolar Disorder,10,"""I had taken many antidepressants and they never worked. I finally had such a severe depression I was debilitated and would cry for hours a day so I finally went to a Psychiatrist and was diagnosed with Bipolar II and prescribed lamotrigine (generic lamictal) and within a month the severe depression had lifted and it's been gone ever since, that was 10 years ago. Of course I still have lows being bipolar but it is no where near what I had experienced prior to lamictal. My depression and bipolar is manageable with lamictal alone except when I get hypo manic and even then it's manageable without additional meds. It saved my life and I will take it forever."""
Gabapentin,PainOff-label,1,"""I was prescribed Gabapentin for horrible, 24/7 MS pain, 300 mg 3x a day at first. It did nothing for the pain, and I spent the entire month I was on it feeling like I was drunk or on a bad 60s type acid trip; I dizzy, staggering, confused, nauseated. My doctor said to give medications a fair chance to work and the side effects should only last a week or so. She increased the dose to 600mg 3x a day when I got no relief from the pain. After a month I couldn't stand the awful side effects any more and was still in pain so I just quit taking it."""
Nicotine,Smoking Cessation,10,"Nicorette (nicotine)""Smoked daily for 15 years around a packet. I am now on my second week of quitting. It is terrible in the morning without the coffee and the cigarette. 
I am using around 7 pieces of the gum daily, using the chew and park method. 
It helps me really good, not thinking about smoking that much more on to chewing now. 
It certainly helps to manage the cravings and the anger."""
Mirtazapine,Major Depressive Disorder,10,"""When escitalopram stopped working then adding Mirtazapine saved me..It works best in Treatment resistant depression."""
Jublia,"Onychomycosis, Toenail",5,"""I'm a foot care nurse. A patient's doctor prescribed this. I debride her nails to reducing the thickness with sterile tools.

It'll take at least a year to go away as it takes a year for toe nails to grow out. Fungus lives in the nail bed.  Unless we debride nails the fungal ointment won't easily get in to kill the fungus.

Regular foot care via a foot nurse, podiatrist or chiropodist is important as we're the foot specialist's.  

Medical doctor is important if you want prescribed ointments ongoing, 
 otherwise get over the counter fungo nail.
Plus for diabetics foot screenings each year via the doctor, as well as via your foot specialists is very important as foot ulcers that lead to amputations is fully prevented this way.

Have patience as no fast fix with fungal nails.  It's a rotten nail, the new one is growing underneath.  The ointment will prevent the new one also going fungal must be applied twice daily until it's fully gone and that will likely be at least a year."""
Clonazepam,AnxietyOff-label,10,"""So, I used to have pretty debilitating anxiety. When I finally went to my doctor, he diagnosed me with a panic disorder and gave me clonazopam. Like any other drug of this sort, how responsible you are with medicine should determine if you take this or not. He gave to to me and told me to take it once at night when I went to bed, and then as needed if I was having a panic attack. This made me a little bit drowsy in the morning, so I stopped taking it at night and switched to just as needed which he said was fine. I have 1mg tablets, and take 1/2 at a time. I TRULY TAKE THIS AS NEEDED, and have never needed to increase my dose. At sight of a panic attack (maybe 3x a month now, used to be everyday) I take one, and it goes away."""
Paragard,Birth Control,10,"""I needed an IUD because I am terrible at remembering pills and my husband and I don't even know if we want kids. And this may be TMI, but we hate condoms, and while he was excellent control and always pulled, it's still a little nerve wracking. So we thought we would try this. 
I'll admit, it hurt a lot when they put it in. It helped that my dr kept telling me what she was doing the whole time and she paused. It was over really fast but I hurt a lot and her assistant had to keep reminding me to breath and flex my toes. They brought me water and told me to lay there as long as I needed to. Stayed about 10 minutes only
What saved me during my worst time next 3 days was Promethazine 25mg, 1 tab every 12 hours. Treats nausea and pain a little."""
Aripiprazole,Post Traumatic Stress DisorderOff-label,10,"""This is a miracle for me. My PTSD would not stop. I have complex ptsd and bipolar from it. A life time of trauma and pain. This drug gave me stability, peace, and the ability to be happy if I choose it. I do not expect prescriptions to do anything except give me a level playing field for me to decide and work for my emotional health. This drug with Pristiq have done that, finally."""
Abilify,Schizoaffective Disorder,1,"""Sadly, this medicine was at one time my worst enemy. I couldn't sit still on it, I kept pacing and twitching, half screaming half crying, agitated, itchy and angry. I couldn't sleep for more than 4 hours a night and I was only on 2.5 mg of it. I don't remember if I ate or not on it, but probably not because I was in a type of hell. I know it's a good medicine for a lot of people, but for me, it turned my life upside down."""
Nexplanon,Birth Control,1,"""Dont take the chance.
I gave over a year to see if my body would adjust.
Long story short, I literally had a FOREVER PERIOD.
It never stopped, in fact it was increasingly get worse.
I was regular before this.
The best advice I can give is if you have this happen to you, start taking iron because it will cause anemia from all the blood loss, which comes with a MOUNTAIN of side effects.  And get the implant removed."""
Dexamethasone,Inflammatory Conditions,1,"""Do not let any incompetent doctors give you this especially when they  don't tell you about awful side effects . This drug is so bad I suffered severe anxiety, and depression cognitive memory loss and couldn't sit still"""
Celebrex,Osteoarthritis,10,"""This is the only medicine that works for me.  I have tried many many others with no effect. I have MS and in pain all the time.  Arthritis in my spine is very painful, and this really helps me."""
Trintellix,Major Depressive Disorder,10,"""I am updating my review of Trintellix. I have now been using it at 10 mg night for 5 weeks. Feeling better everyday. One thing I had a problem with is getting really sleepy early evening (around 5pm) so I started taking my dose at lunch time instead of first thing in the morning. That is working wonderfully for me. It has regulated my sleep patterns! Also a major plus is that it has helped me with my severe social anxiety. I am so happy that I was able walk into a fast food restaurant, order and sit and eat by myself! And enjoy it! I am 56 and never have done that before. I so hope this medication helps you friends and if not hope you find your happy place wherever it may be. Oh one more thing..the cost. I have Cigna insurance and of course they denied paying for this as it is a level 3 med. My Dr. was able to get me approved since I have failed on other AD’s and the copay was $60.00."""
Cephalexin,Kidney Infections,10,"Keflex (cephalexin)""Works great for my urine tract infections. Even when I'm sick with a cold! I highly recommend it. """
